Generation,Best CP,Best CO,Best CO_Score,Mean CO_Score,Routes
108,16.45150931278099,67.0,67.0,128.83333333333334,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
109,16.45150931278099,67.0,67.0,149.2173913043478,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
110,16.45150931278099,67.0,67.0,146.42,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
111,16.45150931278099,67.0,67.0,140.7843137254902,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
112,16.45150931278099,67.0,67.0,135.0408163265306,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
113,16.45150931278099,67.0,67.0,124.81632653061224,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
114,16.45150931278099,67.0,67.0,148.52941176470588,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
115,16.45150931278099,67.0,67.0,125.40425531914893,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
116,16.45150931278099,67.0,67.0,128.86,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
117,16.45150931278099,67.0,67.0,116.375,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
118,16.45150931278099,67.0,67.0,139.73469387755102,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
119,16.45150931278099,67.0,67.0,120.36734693877551,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
120,16.45150931278099,67.0,67.0,127.66666666666667,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
121,16.45150931278099,67.0,67.0,122.27659574468085,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
122,16.45150931278099,67.0,67.0,125.41666666666667,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
123,16.45150931278099,67.0,67.0,107.75510204081633,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
124,16.45150931278099,67.0,67.0,129.92,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
125,16.45150931278099,67.0,67.0,116.91666666666667,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
126,16.45150931278099,67.0,67.0,131.26,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
127,16.45150931278099,67.0,67.0,122.52083333333333,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
128,16.45150931278099,67.0,67.0,140.5625,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
129,16.45150931278099,67.0,67.0,143.7,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
130,16.45150931278099,67.0,67.0,129.7843137254902,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
131,16.45150931278099,67.0,67.0,134.07843137254903,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
132,16.45150931278099,67.0,67.0,138.96,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
133,16.45150931278099,67.0,67.0,129.02083333333334,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
134,16.45150931278099,67.0,67.0,136.26,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
135,16.45150931278099,67.0,67.0,137.18,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
136,16.45150931278099,67.0,67.0,160.10204081632654,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
137,16.45150931278099,67.0,67.0,142.82,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
138,16.45150931278099,67.0,67.0,132.22448979591837,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
